,Date,IPO_Name,Issue Size,Subscription_QIB,Subscription_HNI,Subscription_RII,Total_Subscription,Issue Price,Listing Open,Listing Close,Listing Gain Percent
190,2021-12-23,Medplus Health Services Ltd.,1398.3,111.9,85.3,5.2,52.6,796,1040,1121.2,40.9
303,2017-11-06,Nippon,1542,118.41,209.44,5.23,81.33,252,289,284,12.7
166,2022-08-26,Syrma SGS Technology Ltd.,840,87.6,17.5,5.5,32.6,220,260,310.5,41.1
75,2024-02-14,Jana Small Finance Bank Ltd.,570,38.8,25.1,5.5,18.5,414,396,368.1,-11.1
258,2020-10-01,Computer Age Management Services Ltd.,2244.3,73.2,111.8,5.5,47,1230,1535,1401.6,13.9
434,2010-12-06,RPP Infra Proj,48.75,0.16,7.27,5.6,2.97,75,75,68.95,-8.07
99,2023-11-15,ASK Automotive Ltd.,833.9,142.4,35.5,5.7,51.1,282,303.3,310.1,10
341,2016-08-31,RBL Bank,1100,85.08,198.06,5.7,69.62,225,274.4,299.3,33.02
422,2011-04-08,Shilpi Cable,55.88,1.04,6.39,5.74,3.48,69,78.35,23.8,-65.51
379,2014-09-23,Sharda Crop,352,32.06,251.35,5.85,59.97,156,254.1,231.45,48.37
206,2021-11-12,FINO Payments Bank Ltd.,1200.3,1.6,0.2,5.9,2,577,548,545.3,-5.5
114,2023-09-22,Zaggle Prepaid Ocean Services Ltd.,563.4,16.7,8.8,5.9,12.6,164,164,158.3,-3.5
162,2022-10-06,Mafia Trends Ltd.,3.6,,3.9,6,4.9,28,32.6,31.1,11.1
293,2018-02-08,Galaxy Surfacta,937.09,54.67,6.96,6,20,1480,1525,1698.1,14.74
326,2017-05-09,S Chand and Co,325,44.27,204.65,6.07,59.49,670,675.85,675.85,0.87
302,2017-11-10,Mahindra Logist,829.36,15.61,2.07,6.11,7.9,429,425,429.15,0.03
399,2011-10-19,Taksheel Solut,82.5,0.24,4.7,6.18,2.99,150,157.4,58.15,-61.23
386,2012-12-26,CARE Ratings,539.98,45.8,110.96,6.18,40.98,750,940,923.95,23.19
448,2010-10-08,Electrosteel St,0,5.86,28.58,6.19,8.23,11,11.15,11.25,2.27
487,2010-02-15,Syncom Health,56.25,0.99,16.6,6.25,5.17,75,88,87.85,17.13
80,2024-01-30,EPack Durables Ltd.,640,25.5,28.1,6.3,16.4,230,221,207.6,-9.7
324,2017-05-29,PSP Projects,211.68,8.38,10.39,6.47,8.58,210,195,208.95,-0.5
331,2017-02-03,BSE Limited,1243,48.64,159.03,6.48,51.22,806,1085,1069.2,32.66
164,2022-09-15,Tamilnad Mercantile Bank Ltd.,831.6,1.6,2.9,6.5,2.9,525,495,509.6,-2.9
130,2023-07-14,Senco Gold Ltd.,405,90.1,35,6.5,36.5,317,430,405.3,27.9
412,2011-07-07,Rushil Decor,40.64,0.23,1.35,6.57,2.62,72,81.25,104.49,45.12
247,2021-02-03,Home First Finance Company India Ltd.,1153.7,52.5,39,6.6,26.7,518,612.1,527.4,1.8
457,2010-08-25,Prakash Steelag,68.75,1.27,10.91,6.62,4.53,110,118.55,18.8,-82.91
458,2010-08-18,Bajaj Consumer,297,20.19,53.49,6.62,19.29,660,730,151.65,-77.02
182,2022-04-05,Shashwat Furnishing Solutions Ltd.,2.5,,2.4,6.8,4.6,44.99,45,45.3,0.7
112,2023-09-27,Signatureglobal (India) Ltd.,730,12.7,13.5,6.8,11.9,385,444,458.6,19.1
396,2011-10-24,Vaswani Ind,49,0.16,11.29,6.82,4.16,49,33.45,17.75,-63.78
347,2016-07-01,Mahanagar Gas,1039.64,72.84,191.61,6.82,64.54,421,540,519.9,23.49
377,2014-12-19,Monte Carlo,342.28,13.96,1.71,6.96,7.83,645,585,566.4,-12.19
28,2024-09-16,Bajaj Housing Finance Ltd.,6560,209.4,41.5,7,63.6,70,150,165,135.7
43,2024-07-10,Emcure Pharmaceuticals Ltd.,1952,195.8,48.3,7.2,67.9,1008,1325,1359.2,34.8
262,2020-07-23,Rossari Biotech Ltd.,496.3,85.3,239.8,7.2,79.4,425,670,742.4,74.7
479,2010-03-10,Texmo Pipes,45,1.02,30.5,7.26,7.48,90,92.8,137.25,52.5
329,2017-03-21,Avenue Supermar,1870,144.61,277.74,7.3,104.48,299,604,640.75,114.3
345,2016-07-21,L&T Infotech,1242,19.91,10.76,7.39,11.69,710,667,697.65,-1.74
460,2010-07-28,Shri Aster,53.1,0.01,12.46,7.41,4.47,118,127.7,199.1,68.73
442,2010-10-14,Sea TV Network,50.2,1.66,40.94,7.45,9.58,100,120,106,6
224,2021-07-23,Zomato Ltd.,9375,51.8,33,7.5,38.3,76,115,125.8,65.6
381,2014-05-09,Wonderla,181.25,16.71,159.04,7.56,38.06,125,164.75,157.6,26.08
124,2023-08-23,TVS Supply Chain Solutions Ltd.,880,1.4,2.4,7.6,2.8,197,207.1,201,2
89,2023-12-26,Muthoot Microfin Ltd.,960,17.5,13.2,7.6,11.5,291,275.3,266.1,-8.5
307,2017-10-05,Prataap Snacks,481.94,76.89,101.15,7.62,46.97,938,1250,1178.3,25.62
306,2017-10-16,Godrej Agrovet,1157.31,150.96,236.04,7.67,95.41,460,615,595.55,29.47
176,2022-05-09,Campus Activewear Ltd.,1400.1,152,22.3,7.7,51.8,292,360,378.6,29.7
98,2023-11-29,Indian Renewable Energy Development Agency Ltd.,2150.2,104.6,24.2,7.7,38.8,32,50,60,87.5
118,2023-09-18,Jupiter Life Line Hospitals Ltd.,869.1,187.3,34.8,7.7,63.7,735,973,1075.8,46.4
33,2024-09-03,Premier Energies Ltd.,2830.4,216.7,50,7.7,74.4,450,990,839.9,86.6
378,2014-10-01,Shemaroo Ent,120,5.69,8.64,7.79,7.39,170,180,171,0.59
195,2021-12-14,Anand Rathi Wealth Ltd.,660,2.5,25.4,7.8,9.8,550,584.5,583.5,6.1
373,2015-04-30,VRL Logistics,473.88,58.22,250.86,7.92,74.26,205,288,293.3,43.07
438,2010-10-27,Gyscoal Alloys,54.67,1.54,33.44,8,8.59,71,76.6,8.16,-88.51
56,2024-05-13,Indegene Ltd.,1841.8,197.6,55.1,8,69.9,452,655,570.9,26.3
194,2021-12-17,Rategain Travel Technologies Ltd.,1335.7,8.4,42,8.1,17.4,425,364.8,340.5,-19.9
315,2017-08-11,Cochin Shipyard,1454,63.51,288.87,8.12,76.06,432,461,522,20.83
127,2023-08-07,Yatharth Hospital & Trauma Care Services Ltd.,686.5,85.1,37.2,8.3,36.2,300,306.1,333.9,11.3
